"","studyName","studySub","site","subSiteID","Scale","fitSlope"
"50","IMOS","IMOS","Ningaloo","IMOS_Ningaloo_S","gamma",0.00507645609629677
"51","IMOS","IMOS","North Stradbroke","IMOS_North Stradbroke_S","gamma",-0.000476464807581876
"52","IMOS","IMOS","Port Hacking","IMOS_Port Hacking_S","gamma",0.00338816375905063
"53","IMOS","IMOS","Rottnest Island","IMOS_Rottnest Island_S","gamma",0.0172419223176605
"54","IMOS","IMOS","Yongala","IMOS_Yongala_S","gamma",-0.00167495460585955
"55","Ivanov","Ivanov","Farm","Ivanov_Farm_S","gamma",-0.00121386398041722
"56","Ivanov","Ivanov","NoFarm","Ivanov_NoFarm_S","gamma",0.0411431655917318
"57","Kilfoyle","Kilfoyle","boulder","Kilfoyle_boulder_S","gamma",0.0258590099934858
"58","Kilfoyle","Kilfoyle","natural","Kilfoyle_natural_S","gamma",-0.000891530145423225
"59","McLusky","McLusky","Kinneil","McLusky_Kinneil_S","gamma",0.0466817826402308
"60","Miller","Miller","Entrance","Miller_Entrance_S","gamma",0.0127840660584782
"61","Moreira","Moreira","Baiona","Moreira_Baiona_R","alpha",-0.0158294198609922
"62","SBC","SBCalg","ABUR","SBCalg_ABUR_R","alpha",-0.0210741479935053
"63","SBC","SBCalg","ABUR","SBCalg_ABUR_S","gamma",-0.0159988499705351
"64","SBC","SBCalg","AHND","SBCalg_AHND_R","alpha",-0.0426363057482859
"65","SBC","SBCalg","AHND","SBCalg_AHND_S","gamma",-0.0297047118256106
"66","SBC","SBCalg","AQUE","SBCalg_AQUE_R","alpha",-0.0106954534151872
"67","SBC","SBCalg","AQUE","SBCalg_AQUE_S","gamma",-0.0195165940493838
"68","SBC","SBCalg","BULL","SBCalg_BULL_R","alpha",-0.00897922925738139
"69","SBC","SBCalg","BULL","SBCalg_BULL_S","gamma",-0.0181307698890394
"70","SBC","SBCalg","CARP","SBCalg_CARP_R","alpha",0.00686166037157599
"71","SBC","SBCalg","CARP","SBCalg_CARP_S","gamma",0.0161174291324167
"72","SBC","SBCalg","GOLB","SBCalg_GOLB_R","alpha",-0.0193213774837043
"73","SBC","SBCalg","GOLB","SBCalg_GOLB_S","gamma",-0.0169560656467516
"74","SBC","SBCalg","IVEE","SBCalg_IVEE_R","alpha",-0.0262190506226233
"75","SBC","SBCalg","IVEE","SBCalg_IVEE_S","gamma",-0.0315094898440988
"76","SBC","SBCalg","MOHK","SBCalg_MOHK_R","alpha",-0.0263042446467324
"77","SBC","SBCalg","MOHK","SBCalg_MOHK_S","gamma",-0.0281657211697851
"78","SBC","SBCalg","NAPL","SBCalg_NAPL_R","alpha",0.00935479929602099
"79","SBC","SBCalg","NAPL","SBCalg_NAPL_S","gamma",0.00756818256157228
"80","SBC","SBCalg","SCDI","SBCalg_SCDI_R","alpha",-0.0111657245850186
"81","SBC","SBCalg","SCDI","SBCalg_SCDI_S","gamma",-0.00910561323217347
"82","SBC","SBCalg","SCTW","SBCalg_SCTW_R","alpha",-0.00535746243674584
"83","SBC","SBCalg","SCTW","SBCalg_SCTW_S","gamma",0.000267155959453575
"84","SBC","SBCfish","ABUR","SBCfish_ABUR_R","alpha",0.00280202397563478
"85","SBC","SBCfish","ABUR","SBCfish_ABUR_S","gamma",0.00609415104128236
"86","SBC","SBCfish","AHND","SBCfish_AHND_R","alpha",-0.00578702628374123
"87","SBC","SBCfish","AHND","SBCfish_AHND_S","gamma",-0.00472722785158544
"88","SBC","SBCfish","AQUE","SBCfish_AQUE_R","alpha",-0.00571627806634306
"89","SBC","SBCfish","AQUE","SBCfish_AQUE_S","gamma",-0.00266854242993276
"90","SBC","SBCfish","BULL","SBCfish_BULL_R","alpha",-0.00284932956481651
"91","SBC","SBCfish","BULL","SBCfish_BULL_S","gamma",-0.000685971592442749
"92","SBC","SBCfish","CARP","SBCfish_CARP_R","alpha",0.0255920362671673
"93","SBC","SBCfish","CARP","SBCfish_CARP_S","gamma",0.0181886981073897
"94","SBC","SBCfish","GOLB","SBCfish_GOLB_R","alpha",-0.00880787660941541
"95","SBC","SBCfish","GOLB","SBCfish_GOLB_S","gamma",-0.00546477637194544
"96","SBC","SBCfish","IVEE","SBCfish_IVEE_R","alpha",0.00705812646220958
"97","SBC","SBCfish","IVEE","SBCfish_IVEE_S","gamma",0.0090005850897482
"98","SBC","SBCfish","MOHK","SBCfish_MOHK_R","alpha",-0.000266609766026448
"99","SBC","SBCfish","MOHK","SBCfish_MOHK_S","gamma",0.00397963678869238
"100","SBC","SBCfish","NAPL","SBCfish_NAPL_R","alpha",0.0026495913731909
"101","SBC","SBCfish","NAPL","SBCfish_NAPL_S","gamma",0.00724240822510301
"102","SBC","SBCfish","SCDI","SBCfish_SCDI_R","alpha",0.00567618253779604
"103","SBC","SBCfish","SCDI","SBCfish_SCDI_S","gamma",0.00389725875026638
"104","SBC","SBCfish","SCTW","SBCfish_SCTW_R","alpha",0.0169779934789438
"105","SBC","SBCfish","SCTW","SBCfish_SCTW_S","gamma",0.0173564688485327
"106","SBC","SBCinv","ABUR","SBCinv_ABUR_R","alpha",0.00355549207408281
"107","SBC","SBCinv","ABUR","SBCinv_ABUR_S","gamma",0.00583652337610679
"108","SBC","SBCinv","AHND","SBCinv_AHND_R","alpha",-0.00583381422858064
"109","SBC","SBCinv","AHND","SBCinv_AHND_S","gamma",0.000458510324957543
"110","SBC","SBCinv","AQUE","SBCinv_AQUE_R","alpha",0.0241588019441854
"111","SBC","SBCinv","AQUE","SBCinv_AQUE_S","gamma",0.0255415675700042
"112","SBC","SBCinv","BULL","SBCinv_BULL_R","alpha",0.0169028549134736
"113","SBC","SBCinv","BULL","SBCinv_BULL_S","gamma",0.0280675960697118
"114","SBC","SBCinv","CARP","SBCinv_CARP_R","alpha",0.00947074557313945
"115","SBC","SBCinv","CARP","SBCinv_CARP_S","gamma",0.0155578472047966
"116","SBC","SBCinv","GOLB","SBCinv_GOLB_R","alpha",0.0092036847678679
"117","SBC","SBCinv","GOLB","SBCinv_GOLB_S","gamma",0.0153487189841184
"118","SBC","SBCinv","IVEE","SBCinv_IVEE_R","alpha",0.000382448853526671
"119","SBC","SBCinv","IVEE","SBCinv_IVEE_S","gamma",0.00389765564022285
"120","SBC","SBCinv","MOHK","SBCinv_MOHK_R","alpha",0.00957169322304212
"121","SBC","SBCinv","MOHK","SBCinv_MOHK_S","gamma",0.00832131301434946
"122","SBC","SBCinv","NAPL","SBCinv_NAPL_R","alpha",0.0179757187127904
"123","SBC","SBCinv","NAPL","SBCinv_NAPL_S","gamma",0.0257588676065988
"124","SBC","SBCinv","SCDI","SBCinv_SCDI_R","alpha",0.00366283321728471
"125","SBC","SBCinv","SCDI","SBCinv_SCDI_S","gamma",0.00861193313303195
"126","SBC","SBCinv","SCTW","SBCinv_SCTW_R","alpha",0.0017628647256315
"127","SBC","SBCinv","SCTW","SBCinv_SCTW_S","gamma",4.32483142008928e-05
"128","SBC","SBCmobS","ABUR","SBCmobS_ABUR_R","alpha",-0.0168702253068247
"129","SBC","SBCmobS","ABUR","SBCmobS_ABUR_S","gamma",-0.0111689166450284
"130","SBC","SBCmobS","AHND","SBCmobS_AHND_R","alpha",0.0104349896804905
"131","SBC","SBCmobS","AHND","SBCmobS_AHND_S","gamma",0.0262038965999189
"132","SBC","SBCmobS","AQUE","SBCmobS_AQUE_R","alpha",0.0173364378351787
"133","SBC","SBCmobS","AQUE","SBCmobS_AQUE_S","gamma",0.0119204274351498
"134","SBC","SBCmobS","BULL","SBCmobS_BULL_R","alpha",0.0120677479329736
"135","SBC","SBCmobS","BULL","SBCmobS_BULL_S","gamma",0.0249503365761428
"136","SBC","SBCmobS","CARP","SBCmobS_CARP_R","alpha",0.00355866058396103
"137","SBC","SBCmobS","CARP","SBCmobS_CARP_S","gamma",0.00726681216166633
"138","SBC","SBCmobS","GOLB","SBCmobS_GOLB_R","alpha",0.0165591839832835
"139","SBC","SBCmobS","GOLB","SBCmobS_GOLB_S","gamma",0.039010265112694
"140","SBC","SBCmobS","IVEE","SBCmobS_IVEE_R","alpha",-0.000991946649449579
"141","SBC","SBCmobS","IVEE","SBCmobS_IVEE_S","gamma",-0.00185887025515857
"142","SBC","SBCmobS","MOHK","SBCmobS_MOHK_R","alpha",0.00623365059055048
"143","SBC","SBCmobS","MOHK","SBCmobS_MOHK_S","gamma",0.00983637223509464
"144","SBC","SBCmobS","NAPL","SBCmobS_NAPL_R","alpha",-0.00162315928457543
"145","SBC","SBCmobS","NAPL","SBCmobS_NAPL_S","gamma",0.00292408012300548
"146","SBC","SBCmobS","SCDI","SBCmobS_SCDI_R","alpha",0.00019814254620396
"147","SBC","SBCmobS","SCDI","SBCmobS_SCDI_S","gamma",0.00205386645428394
"148","SBC","SBCmobS","SCTW","SBCmobS_SCTW_R","alpha",-0.0004198821878678
"149","SBC","SBCmobS","SCTW","SBCmobS_SCTW_S","gamma",0.00700440001588703
"150","Sebens","Sebens","DB","Sebens_DB_R","alpha",-0.00845516220975819
"151","Sebens","Sebens","HRI","Sebens_HRI_R","alpha",-0.00348616188425867
"152","Sebens","Sebens","HRO","Sebens_HRO_R","alpha",-0.0132071134828016
"153","Sebens","Sebens","SHI","Sebens_SHI_R","alpha",-0.0157874096094524
"154","Shimanaga","Shimanaga","Sagami","Shimanaga_Sagami_R","alpha",-0.0373799412074142
"155","Shin","Shin","CB","Shin_CB_R","alpha",-0.0220599333579814
"156","Shin","Shin","PC","Shin_PC_R","alpha",0.000504231820416578
"157","Shin","Shin","SWH","Shin_SWH_R","alpha",-0.00999714936564272
"158","Shin","Shin","TLC","Shin_TLC_R","alpha",0.00124440521977346
"159","Shin","Shin","TY","Shin_TY_R","alpha",0.00463361040771643
"160","SwedFishTrap","SwedFishTrap","recipient","SwedFishTrap_recipient_S","gamma",-0.0012914023823364
"161","SwedFishTrap","SwedFishTrap","referens","SwedFishTrap_referens_S","gamma",-0.00473609941813697
"162","Touzri","Touzri","Bay","Touzri_Bay_S","gamma",0.0165003553334264
"163","Touzri","Touzri","Lagoon","Touzri_Lagoon_S","gamma",0.00890684248234177
"164","Valdes","Valdes","oceanic","Valdes_oceanic_S","gamma",-0.0119642319636667
"165","Warwick","WarwickBay","far146","WarwickBay_far146_R","alpha",0.00241009695712121
"166","Warwick","WarwickBay","near23","WarwickBay_near23_R","alpha",0.0303185290251707
"167","Warwick","WarwickEst","inner","WarwickEst_inner_R","alpha",0.0371276924392634
"168","Warwick","WarwickEst","outer","WarwickEst_outer_R","alpha",0.00975926201466533
"169","Yildiz","Yildiz","Trabzon","Yildiz_Trabzon_S","gamma",0.0138472927246687
