"","studyName","studySub","site","subSiteID","Scale","fitSlope"
"34","Dittmann","Dittmann","HCA","Dittmann_HCA_S","gamma",-0.0055314725258581
"35","Dittmann","Dittmann","HCB","Dittmann_HCB_R","alpha",0.0113641751899217
"36","Dittmann","Dittmann","HCB","Dittmann_HCB_S","gamma",0.00317724485251362
"37","Dupont","DupontLB","GNGS","DupontLB_GNGS_S","gamma",-0.00818638706606692
"38","Dupont","DupontRef","GNGS","DupontRef_GNGS_S","gamma",-0.00140042776227559
"39","Dupont","DupontRM","GNGS","DupontRM_GNGS_S","gamma",-0.0061190199232934
"40","Edmunds","Edmunds","Cabritte","Edmunds_Cabritte_R","alpha",0.0129107536006854
"41","Edmunds","Edmunds","Cabritte","Edmunds_Cabritte_S","gamma",0.0109051312215806
"42","Edmunds","Edmunds","EastTektite","Edmunds_EastTektite_R","alpha",0.0264560136577458
"43","Edmunds","Edmunds","EastTektite","Edmunds_EastTektite_S","gamma",0.00859399135123
"44","Edmunds","Edmunds","Europa","Edmunds_Europa_R","alpha",0.0250748188850399
"45","Edmunds","Edmunds","Europa","Edmunds_Europa_S","gamma",0.0211154953309769
"46","Edmunds","Edmunds","NeptunesTable","Edmunds_NeptunesTable_R","alpha",0.0368854484309849
"47","Edmunds","Edmunds","NeptunesTable","Edmunds_NeptunesTable_S","gamma",0.0269360116280973
"48","Edmunds","Edmunds","WestLittleLameshur","Edmunds_WestLittleLameshur_R","alpha",0.0340520623828251
"49","Edmunds","Edmunds","WestLittleLameshur","Edmunds_WestLittleLameshur_S","gamma",0.0230683021906234
"50","Edmunds","Edmunds","WhitePoint","Edmunds_WhitePoint_R","alpha",0.0479505282856214
"51","Edmunds","Edmunds","WhitePoint","Edmunds_WhitePoint_S","gamma",0.0214328667936669
"52","Elahi","Elahi_Qmob","ON","Elahi_Qmob_ON_R","alpha",0.016021202903416
"53","Elahi","Elahi_Qmob","ON","Elahi_Qmob_ON_S","gamma",0.0101293517943061
"54","Elahi","Elahi_Qmob","PG","Elahi_Qmob_PG_R","alpha",0.0213249955407607
"55","Elahi","Elahi_Qmob","PG","Elahi_Qmob_PG_S","gamma",0.0117274892061881
"56","Elahi","Elahi_Qmob","SC","Elahi_Qmob_SC_R","alpha",0.0133990567410005
"57","Elahi","Elahi_Qmob","SC","Elahi_Qmob_SC_S","gamma",0.00796718989327923
"58","Elahi","Elahi_Qsess","ON","Elahi_Qsess_ON_R","alpha",0.00195854223080718
"59","Elahi","Elahi_Qsess","ON","Elahi_Qsess_ON_S","gamma",-0.00406109321560078
"60","Elahi","Elahi_Qsess","PG","Elahi_Qsess_PG_R","alpha",0.00814830366956926
"61","Elahi","Elahi_Qsess","PG","Elahi_Qsess_PG_S","gamma",0.00120948249456014
"62","Elahi","Elahi_Qsess","SC","Elahi_Qsess_SC_R","alpha",0.00710367276461861
"63","Elahi","Elahi_Qsess","SC","Elahi_Qsess_SC_S","gamma",0.00216971832065633
"64","Elahi","Elahi_Tmob","ON","Elahi_Tmob_ON_R","alpha",0.0207728323481311
"65","Elahi","Elahi_Tmob","ON","Elahi_Tmob_ON_S","gamma",0.0163951896241144
"66","Elahi","Elahi_Tmob","PG","Elahi_Tmob_PG_R","alpha",0.00724642256720379
"67","Elahi","Elahi_Tmob","PG","Elahi_Tmob_PG_S","gamma",0.00925439561616964
"68","Elahi","Elahi_Tmob","SC","Elahi_Tmob_SC_R","alpha",0.0252026907946884
"69","Elahi","Elahi_Tmob","SC","Elahi_Tmob_SC_S","gamma",0.0231309277926851
"70","Frid2009","Frid2009","M1","Frid2009_M1_S","gamma",0.00459048332266796
"71","FriedBeets08","FriedBeets08","Cocoloba","FriedBeets08_Cocoloba_S","gamma",0.00213739244679531
"72","FriedBeets08","FriedBeets08","Yawzi","FriedBeets08_Yawzi_S","gamma",0.00601719712990772
"73","FriedHawaii","FriedHawaii","HanaleiBay","FriedHawaii_HanaleiBay_S","gamma",0.00135683940949095
"74","Goodwin","Good_epif","MBL","Good_epif_MBL_R","alpha",0.0125194252956287
"75","Goodwin","Good_pred","MBL","Good_pred_MBL_R","alpha",0.03352587782979
"76","Gooday","Gooday_split","PAP","Gooday_split_PAP_S","gamma",-0.00417653749540411
"77","Gooday","Gooday_whole","PAP","Gooday_whole_PAP_S","gamma",-0.0169258577500679
"78","Hall","Hall","Howdon","Hall_Howdon_S","gamma",0.0212660432740119
"79","Hall","Hall","NorthShields","Hall_NorthShields_S","gamma",0.0141210505703329
"80","Hall","Hall","Quayside","Hall_Quayside_S","gamma",0.0273974594837007
"81","Hall","Hall","Scotswood","Hall_Scotswood_S","gamma",0.0450740551014942
"82","Hall","Hall","SouthShields","Hall_SouthShields_S","gamma",0.0143543131151136
"83","Hawkins","Hawkins","fished","Hawkins_fished_R","alpha",-0.00455514281285258
"84","Hawkins","Hawkins","reserve","Hawkins_reserve_R","alpha",8.8960286264185e-05
"85","HernandezMiranda","HernandezMiranda","ColiumoBay","HernandezMiranda_ColiumoBay_S","gamma",-0.0130042039548999
"86","Hidalgo","Hidalgo","Mejillones","Hidalgo_Mejillones_S","gamma",0.0118617498800048
"87","IbarraObando","IbarraObando","Non-tidal","IbarraObando_Non-tidal_S","gamma",-0.0131085899933494
"88","IbarraObando","IbarraObando","Tidal","IbarraObando_Tidal_S","gamma",0.00281203697891661
"89","IMOS","IMOS","Darwin","IMOS_Darwin_S","gamma",0.00252381731392512
"90","IMOS","IMOS","Esperance","IMOS_Esperance_S","gamma",0.0123989273255357
"91","IMOS","IMOS","Kangaroo Island","IMOS_Kangaroo Island_S","gamma",0.00537114513288035
"92","IMOS","IMOS","Maria Island","IMOS_Maria Island_S","gamma",0.00456141009721681
"93","IMOS","IMOS","Ningaloo","IMOS_Ningaloo_S","gamma",0.00815359096352798
"94","IMOS","IMOS","North Stradbroke","IMOS_North Stradbroke_S","gamma",-0.00057846633005243
"95","IMOS","IMOS","Port Hacking","IMOS_Port Hacking_S","gamma",0.00279999891603295
"96","IMOS","IMOS","Rottnest Island","IMOS_Rottnest Island_S","gamma",0.0138746774702579
"97","IMOS","IMOS","Yongala","IMOS_Yongala_S","gamma",0.0116493613259292
"98","Ivanov","Ivanov","Farm","Ivanov_Farm_S","gamma",-0.0157135364733337
"99","Ivanov","Ivanov","NoFarm","Ivanov_NoFarm_S","gamma",0.00224030033445831
"100","Jones","Jones","Burrill","Jones_Burrill_R","alpha",0.00492581311005632
"101","Jones","Jones","Coila","Jones_Coila_R","alpha",0.00888541782399437
"102","Jones","Jones","Conjola","Jones_Conjola_R","alpha",-0.0026428929565386
"103","Jones","Jones","Illawarra","Jones_Illawarra_R","alpha",0.0110399030230239
"104","Jones","Jones","StGeorges","Jones_StGeorges_R","alpha",0.00437962855892755
"105","Jones","Jones","Wallaga","Jones_Wallaga_R","alpha",0.000533274709519331
"106","KelmoForam","KelmoForam","BahiaKF","KelmoForam_BahiaKF_S","gamma",-0.0197718797626376
"107","KelmoInv","KelmoInv","BahiaKI","KelmoInv_BahiaKI_S","gamma",-0.00892675005430263
"108","KFMP","KFMP","KFMP1","KFMP_KFMP1_S","gamma",0.00808262498427427
"109","KFMP","KFMP","KFMP10","KFMP_KFMP10_S","gamma",0.00428143453704918
"110","KFMP","KFMP","KFMP11","KFMP_KFMP11_S","gamma",0.00147695810948196
"111","KFMP","KFMP","KFMP12","KFMP_KFMP12_S","gamma",0.01112419125453
"112","KFMP","KFMP","KFMP13","KFMP_KFMP13_S","gamma",0.0058539545951261
"113","KFMP","KFMP","KFMP14","KFMP_KFMP14_S","gamma",-0.00350402730355007
"114","KFMP","KFMP","KFMP15","KFMP_KFMP15_S","gamma",-0.00544182866933486
"115","KFMP","KFMP","KFMP16","KFMP_KFMP16_S","gamma",-0.00646650234625701
"116","KFMP","KFMP","KFMP2","KFMP_KFMP2_S","gamma",0.010792444376731
"117","KFMP","KFMP","KFMP21","KFMP_KFMP21_S","gamma",-0.00114478835992562
"118","KFMP","KFMP","KFMP22","KFMP_KFMP22_S","gamma",-0.00375874556659673
"119","KFMP","KFMP","KFMP23","KFMP_KFMP23_S","gamma",0.00273263504251189
"120","KFMP","KFMP","KFMP24","KFMP_KFMP24_S","gamma",-0.000689030329978205
"121","KFMP","KFMP","KFMP25","KFMP_KFMP25_S","gamma",0.00634415350167472
"122","KFMP","KFMP","KFMP26","KFMP_KFMP26_S","gamma",0.00544719022796303
"123","KFMP","KFMP","KFMP27","KFMP_KFMP27_S","gamma",0.00706399101499936
"124","KFMP","KFMP","KFMP28","KFMP_KFMP28_S","gamma",0.0091133951898767
"125","KFMP","KFMP","KFMP29","KFMP_KFMP29_S","gamma",0.000525748158456304
"126","KFMP","KFMP","KFMP3","KFMP_KFMP3_S","gamma",0.00765127081606614
"127","KFMP","KFMP","KFMP30","KFMP_KFMP30_S","gamma",0.00586798535934513
"128","KFMP","KFMP","KFMP31","KFMP_KFMP31_S","gamma",0.00544513437685705
"129","KFMP","KFMP","KFMP32","KFMP_KFMP32_S","gamma",0.00393039428786676
"130","KFMP","KFMP","KFMP33","KFMP_KFMP33_S","gamma",0.0134977997871198
"131","KFMP","KFMP","KFMP34","KFMP_KFMP34_S","gamma",-0.00164669653563697
"132","KFMP","KFMP","KFMP35","KFMP_KFMP35_S","gamma",0.00201269431471307
"133","KFMP","KFMP","KFMP36","KFMP_KFMP36_S","gamma",0.000664461138571677
"134","KFMP","KFMP","KFMP37","KFMP_KFMP37_S","gamma",0.00770731249645332
"135","KFMP","KFMP","KFMP4","KFMP_KFMP4_S","gamma",0.00593979794400818
"136","KFMP","KFMP","KFMP5","KFMP_KFMP5_S","gamma",0.00715226653751223
"137","KFMP","KFMP","KFMP6","KFMP_KFMP6_S","gamma",0.0066235070763964
"138","KFMP","KFMP","KFMP7","KFMP_KFMP7_S","gamma",0.00548746852182697
"139","KFMP","KFMP","KFMP8","KFMP_KFMP8_S","gamma",0.00502227902800031
"140","KFMP","KFMP","KFMP9","KFMP_KFMP9_S","gamma",0.00646618570627608
"141","Kilfoyle","Kilfoyle","boulder","Kilfoyle_boulder_R","alpha",0.000570355555101689
"142","Kilfoyle","Kilfoyle","boulder","Kilfoyle_boulder_S","gamma",-0.000890802175614055
"143","Kilfoyle","Kilfoyle","natural","Kilfoyle_natural_R","alpha",-0.000565942331645374
"144","Kilfoyle","Kilfoyle","natural","Kilfoyle_natural_S","gamma",-0.005998797267313
"145","KelmoSponge","KS_CRW","BahiaKS","KS_CRW_BahiaKS_S","gamma",0.000300917873892072
"146","KelmoSponge","KS_ERT","BahiaKS","KS_ERT_BahiaKS_S","gamma",0.00553791149448744
"147","KelmoSponge","KS_SBR","BahiaKS","KS_SBR_BahiaKS_S","gamma",0.00577836132688542
"148","Masuda","Masuda","Wakasa","Masuda_Wakasa_R","alpha",0.0126975977821874
"149","McClanahan","McClanahan","Diani","McClanahan_Diani_S","gamma",0.0125841447356514
"150","McClanahan","McClanahan","Kanamai","McClanahan_Kanamai_S","gamma",0.010086399451084
"151","McClanahan","McClanahan","Mombasa","McClanahan_Mombasa_S","gamma",0.00625334757309701
"152","McClanahan","McClanahan","Vipingo","McClanahan_Vipingo_S","gamma",0.0115477270310938
"153","McLusky","McLusky","Kinneil","McLusky_Kinneil_S","gamma",0.0312095619147476
"154","Miller","Miller","Entrance","Miller_Entrance_S","gamma",0.0128006029670851
"155","Moreira","Moreira","Baiona","Moreira_Baiona_R","alpha",0.00174458029337831
"156","Noble","Noble","closed","Noble_closed_R","alpha",-0.0183453743970081
"157","Noble","Noble","open","Noble_open_R","alpha",-0.0143000332576374
"158","Occhipinti","Occhipinti","Ces12m","Occhipinti_Ces12m_S","gamma",-0.00413458479630094
"159","Occhipinti","Occhipinti","Ces3m","Occhipinti_Ces3m_S","gamma",-0.0020455677497055
"160","Occhipinti","Occhipinti","Ces8m","Occhipinti_Ces8m_S","gamma",-0.00307913024319875
"161","Occhipinti","Occhipinti","PG12m","Occhipinti_PG12m_S","gamma",-0.00340980208716794
"162","Occhipinti","Occhipinti","PG3m","Occhipinti_PG3m_S","gamma",-0.018730880507097
"163","Occhipinti","Occhipinti","PG8m","Occhipinti_PG8m_S","gamma",-0.0161060392335722
"164","Robinson","Robinson","BM","Robinson_BM_S","gamma",0.00832121096633282
"165","Robinson","Robinson","CA","Robinson_CA_S","gamma",0.00361981608550314
"166","Robinson","Robinson","HI","Robinson_HI_S","gamma",0.00219955929337469
"167","Robinson","Robinson","RI","Robinson_RI_S","gamma",-0.000869302366904388
"168","Robinson","Robinson","T","Robinson_T_S","gamma",-0.00508810590635704
"169","SBC","SBCalg","ABUR","SBCalg_ABUR_R","alpha",-0.00319689550835354
"170","SBC","SBCalg","ABUR","SBCalg_ABUR_S","gamma",-0.00154220896629779
"171","SBC","SBCalg","AHND","SBCalg_AHND_R","alpha",-0.0189764937776105
"172","SBC","SBCalg","AHND","SBCalg_AHND_S","gamma",-0.00910249978583192
"173","SBC","SBCalg","AQUE","SBCalg_AQUE_R","alpha",0.000392896905540095
"174","SBC","SBCalg","AQUE","SBCalg_AQUE_S","gamma",-0.00186889944049691
"175","SBC","SBCalg","BULL","SBCalg_BULL_R","alpha",0.00861294629678156
"176","SBC","SBCalg","BULL","SBCalg_BULL_S","gamma",-1.18172385244001e-05
"177","SBC","SBCalg","CARP","SBCalg_CARP_R","alpha",0.0202148942924663
"178","SBC","SBCalg","CARP","SBCalg_CARP_S","gamma",0.017733410250387
"179","SBC","SBCalg","GOLB","SBCalg_GOLB_R","alpha",0.00206146527526685
"180","SBC","SBCalg","GOLB","SBCalg_GOLB_S","gamma",0.00249636067885236
"181","SBC","SBCalg","IVEE","SBCalg_IVEE_R","alpha",-0.00592571357638509
"182","SBC","SBCalg","IVEE","SBCalg_IVEE_S","gamma",-0.0103234950212382
"183","SBC","SBCalg","MOHK","SBCalg_MOHK_R","alpha",-0.00886220084734711
"184","SBC","SBCalg","MOHK","SBCalg_MOHK_S","gamma",-0.00734486291025161
"185","SBC","SBCalg","NAPL","SBCalg_NAPL_R","alpha",0.0271825404181697
"186","SBC","SBCalg","NAPL","SBCalg_NAPL_S","gamma",0.0235992833672274
"187","SBC","SBCalg","SCDI","SBCalg_SCDI_R","alpha",0.00295056630259387
"188","SBC","SBCalg","SCDI","SBCalg_SCDI_S","gamma",0.00100874737365437
"189","SBC","SBCalg","SCTW","SBCalg_SCTW_R","alpha",0.0117013409676838
"190","SBC","SBCalg","SCTW","SBCalg_SCTW_S","gamma",0.0178933611915458
"191","SBC","SBCfish","ABUR","SBCfish_ABUR_R","alpha",0.0100118606217726
"192","SBC","SBCfish","ABUR","SBCfish_ABUR_S","gamma",0.0105571306524291
"193","SBC","SBCfish","AHND","SBCfish_AHND_R","alpha",-0.0036831770581014
"194","SBC","SBCfish","AHND","SBCfish_AHND_S","gamma",-0.00202259424439521
"195","SBC","SBCfish","AQUE","SBCfish_AQUE_R","alpha",0.000183541631469101
"196","SBC","SBCfish","AQUE","SBCfish_AQUE_S","gamma",-1.42406030379817e-05
"197","SBC","SBCfish","BULL","SBCfish_BULL_R","alpha",0.00253278418905624
"198","SBC","SBCfish","BULL","SBCfish_BULL_S","gamma",0.00187262718583627
"199","SBC","SBCfish","CARP","SBCfish_CARP_R","alpha",0.0258589743922699
"200","SBC","SBCfish","CARP","SBCfish_CARP_S","gamma",0.0207883948850077
"201","SBC","SBCfish","GOLB","SBCfish_GOLB_R","alpha",-0.00185874601990553
"202","SBC","SBCfish","GOLB","SBCfish_GOLB_S","gamma",-0.00102975329042256
"203","SBC","SBCfish","IVEE","SBCfish_IVEE_R","alpha",0.0107281559734252
"204","SBC","SBCfish","IVEE","SBCfish_IVEE_S","gamma",0.0105502502327483
"205","SBC","SBCfish","MOHK","SBCfish_MOHK_R","alpha",0.00761935309599253
"206","SBC","SBCfish","MOHK","SBCfish_MOHK_S","gamma",0.00830113473246351
"207","SBC","SBCfish","NAPL","SBCfish_NAPL_R","alpha",0.00878007599316237
"208","SBC","SBCfish","NAPL","SBCfish_NAPL_S","gamma",0.00907178566394945
"209","SBC","SBCfish","SCDI","SBCfish_SCDI_R","alpha",0.0108304402180567
"210","SBC","SBCfish","SCDI","SBCfish_SCDI_S","gamma",0.00684794973388908
"211","SBC","SBCfish","SCTW","SBCfish_SCTW_R","alpha",0.0224102173602648
"212","SBC","SBCfish","SCTW","SBCfish_SCTW_S","gamma",0.0203802757874973
"213","SBC","SBCinv","ABUR","SBCinv_ABUR_R","alpha",-0.000982246888504749
"214","SBC","SBCinv","ABUR","SBCinv_ABUR_S","gamma",-0.000660567332516059
"215","SBC","SBCinv","AHND","SBCinv_AHND_R","alpha",0.017555931382613
"216","SBC","SBCinv","AHND","SBCinv_AHND_S","gamma",0.0181054704951498
"217","SBC","SBCinv","AQUE","SBCinv_AQUE_R","alpha",0.0297790740060781
"218","SBC","SBCinv","AQUE","SBCinv_AQUE_S","gamma",0.0215187426907566
"219","SBC","SBCinv","BULL","SBCinv_BULL_R","alpha",0.0291735974162425
"220","SBC","SBCinv","BULL","SBCinv_BULL_S","gamma",0.036456424839985
"221","SBC","SBCinv","CARP","SBCinv_CARP_R","alpha",0.0192380735827863
"222","SBC","SBCinv","CARP","SBCinv_CARP_S","gamma",0.0118021919558807
"223","SBC","SBCinv","GOLB","SBCinv_GOLB_R","alpha",0.0213224093498852
"224","SBC","SBCinv","GOLB","SBCinv_GOLB_S","gamma",0.0258942391326152
"225","SBC","SBCinv","IVEE","SBCinv_IVEE_R","alpha",0.0179058562454056
"226","SBC","SBCinv","IVEE","SBCinv_IVEE_S","gamma",0.0212345827160693
"227","SBC","SBCinv","MOHK","SBCinv_MOHK_R","alpha",0.015410120057071
"228","SBC","SBCinv","MOHK","SBCinv_MOHK_S","gamma",0.011453723786
"229","SBC","SBCinv","NAPL","SBCinv_NAPL_R","alpha",0.0191866900622909
"230","SBC","SBCinv","NAPL","SBCinv_NAPL_S","gamma",0.0142263304716679
"231","SBC","SBCinv","SCDI","SBCinv_SCDI_R","alpha",0.0136433226786529
"232","SBC","SBCinv","SCDI","SBCinv_SCDI_S","gamma",0.0145691292447902
"233","SBC","SBCinv","SCTW","SBCinv_SCTW_R","alpha",0.00260132252384241
"234","SBC","SBCinv","SCTW","SBCinv_SCTW_S","gamma",0.0035405191846318
"235","SBC","SBCmobS","ABUR","SBCmobS_ABUR_R","alpha",-0.0147622734929669
"236","SBC","SBCmobS","ABUR","SBCmobS_ABUR_S","gamma",-0.0140009991527505
"237","SBC","SBCmobS","AHND","SBCmobS_AHND_R","alpha",0.0193985117455919
"238","SBC","SBCmobS","AHND","SBCmobS_AHND_S","gamma",0.0165773830444934
"239","SBC","SBCmobS","AQUE","SBCmobS_AQUE_R","alpha",0.00745664349994693
"240","SBC","SBCmobS","AQUE","SBCmobS_AQUE_S","gamma",0.00537976628557636
"241","SBC","SBCmobS","BULL","SBCmobS_BULL_R","alpha",0.00444402374620241
"242","SBC","SBCmobS","BULL","SBCmobS_BULL_S","gamma",0.00647216044425045
"243","SBC","SBCmobS","CARP","SBCmobS_CARP_R","alpha",0.00661202591628124
"244","SBC","SBCmobS","CARP","SBCmobS_CARP_S","gamma",0.00362151045489408
"245","SBC","SBCmobS","GOLB","SBCmobS_GOLB_R","alpha",-0.00412331407317315
"246","SBC","SBCmobS","GOLB","SBCmobS_GOLB_S","gamma",-0.00481519941057485
"247","SBC","SBCmobS","IVEE","SBCmobS_IVEE_R","alpha",0.00102869213530232
"248","SBC","SBCmobS","IVEE","SBCmobS_IVEE_S","gamma",-0.000795767888304204
"249","SBC","SBCmobS","MOHK","SBCmobS_MOHK_R","alpha",0.00120691281810591
"250","SBC","SBCmobS","MOHK","SBCmobS_MOHK_S","gamma",0.00160871469596456
"251","SBC","SBCmobS","NAPL","SBCmobS_NAPL_R","alpha",-0.00160994377617115
"252","SBC","SBCmobS","NAPL","SBCmobS_NAPL_S","gamma",-0.00237748765848369
"253","SBC","SBCmobS","SCDI","SBCmobS_SCDI_R","alpha",0.00415490336961625
"254","SBC","SBCmobS","SCDI","SBCmobS_SCDI_S","gamma",0.00360912666235072
"255","SBC","SBCmobS","SCTW","SBCmobS_SCTW_R","alpha",0.00526000530382836
"256","SBC","SBCmobS","SCTW","SBCmobS_SCTW_S","gamma",0.00502361276456359
"257","SeaBrook","SeaAlgae","B17_sha","SeaAlgae_B17_sha_R","alpha",0.000833726865336058
"258","SeaBrook","SeaAlgae","B19_mid","SeaAlgae_B19_mid_R","alpha",-0.00910896554035135
"259","SeaBrook","SeaAlgae","B31_mid","SeaAlgae_B31_mid_R","alpha",0.00805330670475599
"260","SeaBrook","SeaAlgae","B35_sha","SeaAlgae_B35_sha_R","alpha",-0.00131479663672036
"261","SeaBrook","SeaFauna","B17_sha","SeaFauna_B17_sha_R","alpha",-0.0145883069975263
"262","SeaBrook","SeaFauna","B19_mid","SeaFauna_B19_mid_R","alpha",-0.0202603447554892
"263","SeaBrook","SeaFauna","B31_mid","SeaFauna_B31_mid_R","alpha",-0.00680456304406076
"264","SeaBrook","SeaFauna","B35_sha","SeaFauna_B35_sha_R","alpha",-0.016451388151497
"265","Sebens","Sebens","DB","Sebens_DB_R","alpha",-0.000830571861640849
"266","Sebens","Sebens","DB","Sebens_DB_S","gamma",-0.000190525692612685
"267","Sebens","Sebens","HRI","Sebens_HRI_R","alpha",0.000922006602673949
"268","Sebens","Sebens","HRI","Sebens_HRI_S","gamma",0.000147286274938117
"269","Sebens","Sebens","HRO","Sebens_HRO_R","alpha",-0.00207137583633516
"270","Sebens","Sebens","HRO","Sebens_HRO_S","gamma",0.0041091363446398
"271","Sebens","Sebens","SHI","Sebens_SHI_R","alpha",-0.00624431025206242
"272","Sebens","Sebens","SHI","Sebens_SHI_S","gamma",-0.00484861301547643
"273","Sheaves","Sheaves","Curralea","Sheaves_Curralea_S","gamma",-0.00495833048986983
"274","Sheaves","Sheaves","Keyatta","Sheaves_Keyatta_S","gamma",0.00211192674411218
"275","Shimanaga","Shimanaga","Sagami","Shimanaga_Sagami_R","alpha",-0.00389782164186104
"276","Somerfield","SomerfieldDeep","Keys","SomerfieldDeep_Keys_R","alpha",0.00608394845550168
"277","Somerfield","SomerfieldHard","Keys","SomerfieldHard_Keys_R","alpha",0.0210316899309611
"278","Somerfield","SomerfieldPatch","Keys","SomerfieldPatch_Keys_R","alpha",0.00826215870970772
"279","Somerfield","SomerfieldShallow","Keys","SomerfieldShallow_Keys_R","alpha",0.00636719036214148
"280","Svensson","Svensson","C1_3m","Svensson_C1_3m_R","alpha",0.00148367199840802
"281","Svensson","Svensson","C1_9m","Svensson_C1_9m_R","alpha",0.0171040646814633
"282","Svensson","Svensson","C2_3m","Svensson_C2_3m_R","alpha",0.00227385194352596
"283","Svensson","Svensson","C2_9m","Svensson_C2_9m_R","alpha",0.0366146147758968
"284","Svensson","Svensson","WIB_3m","Svensson_WIB_3m_R","alpha",0.00109828061175339
"285","Svensson","Svensson","WIB_9m","Svensson_WIB_9m_R","alpha",0.00766573429066675
"286","Svensson","Svensson","WIBP_3m","Svensson_WIBP_3m_R","alpha",0.0057303983641944
"287","Svensson","Svensson","WIBP_9m","Svensson_WIBP_9m_R","alpha",0.0136176242567533
"288","SwedFishTrap","SwedFishTrap","recipient","SwedFishTrap_recipient_S","gamma",-0.00158056897979173
"289","SwedFishTrap","SwedFishTrap","referens","SwedFishTrap_referens_S","gamma",-0.00173056835671797
"290","SwedMacro","SwedMacro","Kvado_deep","SwedMacro_Kvado_deep_R","alpha",0.0145065441273175
"291","SwedMacro","SwedMacro","Kvado_shall","SwedMacro_Kvado_shall_R","alpha",0.0189512001264235
"292","SwedMacro","SwedMacro","Simp_deep","SwedMacro_Simp_deep_R","alpha",0.013526240066325
"293","SwedMacro","SwedMacro","Simp_shall","SwedMacro_Simp_shall_R","alpha",0.028579668753281
"294","Valdes","Valdes","neritic","Valdes_neritic_S","gamma",0.00397666611061121
"295","Warwick","WarwickBay","far146","WarwickBay_far146_R","alpha",-0.00547711228329998
"296","Warwick","WarwickBay","near23","WarwickBay_near23_R","alpha",0.00544981134686608
"297","Warwick","WarwickEst","inner","WarwickEst_inner_R","alpha",0.0250309171532846
"298","Warwick","WarwickEst","outer","WarwickEst_outer_R","alpha",0.0226276364417525
"299","Whomersley","Whomersley","D","Whomersley_D_R","alpha",-0.0167578552698945
"300","Whomersley","Whomersley","Rn","Whomersley_Rn_R","alpha",-0.00182005216850554
"301","Whomersley","Whomersley","Rs","Whomersley_Rs_R","alpha",-0.0090636835106198
"302","Yildiz","Yildiz","Trabzon","Yildiz_Trabzon_S","gamma",0.00678731802507682
